slide_id,scale,h5_path,h5_exists,h5_read_success,h5_error,coords_exists,coords_count,coords_shape,coords_dtype,patch_level,patch_size,h5_downsample_x,h5_downsample_y,h5_level_dim,h5_downsampled_level_dim,h5_name,h5_save_path,required_metadata_complete
2460239-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460239-B2.h5,True,True,,True,187,"[187,2]",int32,2,256,16.00074444326279,16.002004738472753,"[9403,5487]","[9403,5487]",2460239-B2,patches_coords_5x\patches_256,True
2460239-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460239-B2.h5,True,True,,True,2592,"[2592,2]",int32,1,256,4.000079759657565,4.000136674259681,"[37613,21950]","[37613,21950]",2460239-B2,patches_coords_20x\patches_256,True
2460242-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460242-B2.h5,True,True,,True,426,"[426,2]",int32,2,256,16.001316020354448,16.002004738472753,"[11398,5487]","[11398,5487]",2460242-B2,patches_coords_5x\patches_256,True
2460242-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460242-B2.h5,True,True,,True,6128,"[6128,2]",int32,1,256,4.000065796688233,4.000136674259681,"[45595,21950]","[45595,21950]",2460242-B2,patches_coords_20x\patches_256,True
2460399-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460399-B2.h5,True,True,,True,285,"[285,2]",int32,2,256,16.00111719360965,16.002004738472753,"[8951,5487]","[8951,5487]",2460399-B2,patches_coords_5x\patches_256,True
2460399-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460399-B2.h5,True,True,,True,4103,"[4103,2]",int32,1,256,4.000055856560353,4.000136674259681,"[35806,21950]","[35806,21950]",2460399-B2,patches_coords_20x\patches_256,True
2460404-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2460404-B3.h5,True,True,,True,308,"[308,2]",int32,2,256,16.0,16.002004738472753,"[10420,5487]","[10420,5487]",2460404-B3,patches_coords_5x\patches_256,True
2460404-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2460404-B3.h5,True,True,,True,4243,"[4243,2]",int32,1,256,4.0,4.000136674259681,"[41680,21950]","[41680,21950]",2460404-B3,patches_coords_20x\patches_256,True
2460405-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460405-B2.h5,True,True,,True,128,"[128,2]",int32,2,256,16.001531896268737,16.00154261473197,"[9139,5186]","[9139,5186]",2460405-B2,patches_coords_5x\patches_256,True
2460405-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460405-B2.h5,True,True,,True,1742,"[1742,2]",int32,1,256,4.0000547060915235,4.0,"[36559,20746]","[36559,20746]",2460405-B2,patches_coords_20x\patches_256,True
