slide_id,scale,coord_h5_path,feature_h5_path,coord_h5_read_success,feature_h5_read_success,read_error,coord_coords_exists,feature_coords_exists,features_exists,coord_count,feature_coord_count,feature_count,coord_only_coordinate_count,feature_only_coordinate_count,coord_shape,feature_coord_shape,feature_shape,coord_dtype,feature_coord_dtype,feature_dtype,all_three_counts_equal,coord_shapes_equal,coordinate_values_and_order_equal,coordinate_multiset_equal,coordinate_set_equal,same_coordinates_different_order,row_mismatch_count,first_mismatch_index,alignment_ok
2460239-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460239-B2.h5,data/yiyuan/features_biomedclip_5x/2460239-B2.h5,True,True,,True,True,True,187,187,187,0,0,"[187,2]","[187,2]","[187,512]",int32,int64,float32,True,True,False,True,True,True,186,0,False
2460239-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460239-B2.h5,data/yiyuan/features_biomedclip_20x/2460239-B2.h5,True,True,,True,True,True,2592,2592,2592,0,0,"[2592,2]","[2592,2]","[2592,512]",int32,int64,float32,True,True,False,True,True,True,2592,0,False
2460242-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460242-B2.h5,data/yiyuan/features_biomedclip_5x/2460242-B2.h5,True,True,,True,True,True,426,426,426,0,0,"[426,2]","[426,2]","[426,512]",int32,int64,float32,True,True,False,True,True,True,426,0,False
2460242-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460242-B2.h5,data/yiyuan/features_biomedclip_20x/2460242-B2.h5,True,True,,True,True,True,6128,6128,6128,0,0,"[6128,2]","[6128,2]","[6128,512]",int32,int64,float32,True,True,False,True,True,True,6125,0,False
2460399-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460399-B2.h5,data/yiyuan/features_biomedclip_5x/2460399-B2.h5,True,True,,True,True,True,285,285,285,0,0,"[285,2]","[285,2]","[285,512]",int32,int64,float32,True,True,False,True,True,True,285,0,False
2460399-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460399-B2.h5,data/yiyuan/features_biomedclip_20x/2460399-B2.h5,True,True,,True,True,True,4103,4103,4103,0,0,"[4103,2]","[4103,2]","[4103,512]",int32,int64,float32,True,True,False,True,True,True,4103,0,False
2460404-B3,5x,data/yiyuan/patches_coords_5x/patches_256/2460404-B3.h5,data/yiyuan/features_biomedclip_5x/2460404-B3.h5,True,True,,True,True,True,308,308,308,0,0,"[308,2]","[308,2]","[308,512]",int32,int64,float32,True,True,False,True,True,True,308,0,False
2460404-B3,20x,data/yiyuan/patches_coords_20x/patches_256/2460404-B3.h5,data/yiyuan/features_biomedclip_20x/2460404-B3.h5,True,True,,True,True,True,4243,4243,4243,0,0,"[4243,2]","[4243,2]","[4243,512]",int32,int64,float32,True,True,False,True,True,True,4242,0,False
2460405-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460405-B2.h5,data/yiyuan/features_biomedclip_5x/2460405-B2.h5,True,True,,True,True,True,128,128,128,0,0,"[128,2]","[128,2]","[128,512]",int32,int64,float32,True,True,False,True,True,True,128,0,False
2460405-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460405-B2.h5,data/yiyuan/features_biomedclip_20x/2460405-B2.h5,True,True,,True,True,True,1742,1742,1742,0,0,"[1742,2]","[1742,2]","[1742,512]",int32,int64,float32,True,True,False,True,True,True,1741,0,False
2460591-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460591-B2.h5,data/yiyuan/features_biomedclip_5x/2460591-B2.h5,True,True,,True,True,True,253,253,253,0,0,"[253,2]","[253,2]","[253,512]",int32,int64,float32,True,True,False,True,True,True,253,0,False
2460591-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460591-B2.h5,data/yiyuan/features_biomedclip_20x/2460591-B2.h5,True,True,,True,True,True,3248,3248,3248,0,0,"[3248,2]","[3248,2]","[3248,512]",int32,int64,float32,True,True,False,True,True,True,3247,0,False
2460602-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460602-B.h5,data/yiyuan/features_biomedclip_5x/2460602-B.h5,True,True,,True,True,True,252,252,252,0,0,"[252,2]","[252,2]","[252,512]",int32,int64,float32,True,True,False,True,True,True,252,0,False
2460602-B,20x,data/yiyuan/patches_coords_20x/patches_256/2460602-B.h5,data/yiyuan/features_biomedclip_20x/2460602-B.h5,True,True,,True,True,True,3707,3707,3707,0,0,"[3707,2]","[3707,2]","[3707,512]",int32,int64,float32,True,True,False,True,True,True,3705,0,False
2460628-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460628-B2.h5,data/yiyuan/features_biomedclip_5x/2460628-B2.h5,True,True,,True,True,True,190,190,190,0,0,"[190,2]","[190,2]","[190,512]",int32,int64,float32,True,True,False,True,True,True,190,0,False
2460628-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460628-B2.h5,data/yiyuan/features_biomedclip_20x/2460628-B2.h5,True,True,,True,True,True,2668,2668,2668,0,0,"[2668,2]","[2668,2]","[2668,512]",int32,int64,float32,True,True,False,True,True,True,2666,0,False
2460641-B2,5x,data/yiyuan/patches_coords_5x/patches_256/2460641-B2.h5,data/yiyuan/features_biomedclip_5x/2460641-B2.h5,True,True,,True,True,True,242,242,242,0,0,"[242,2]","[242,2]","[242,512]",int32,int64,float32,True,True,False,True,True,True,242,0,False
2460641-B2,20x,data/yiyuan/patches_coords_20x/patches_256/2460641-B2.h5,data/yiyuan/features_biomedclip_20x/2460641-B2.h5,True,True,,True,True,True,3511,3511,3511,0,0,"[3511,2]","[3511,2]","[3511,512]",int32,int64,float32,True,True,False,True,True,True,3510,0,False
2460643-B,5x,data/yiyuan/patches_coords_5x/patches_256/2460643-B.h5,data/yiyuan/features_biomedclip_5x/2460643-B.h5,True,True,,True,True,True,182,182,182,0,0,"[182,2]","[182,2]","[182,512]",int32,int64,float32,True,True,False,True,True,True,182,0,False
