slide_id,issue_type,severity,scale,observed,expected_or_reference,details
2460239-B2,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460239-B2,patch_footprint_out_of_bounds,warning,20x,13,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460242-B2,patch_footprint_out_of_bounds,warning,5x,1,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460404-B3,patch_footprint_out_of_bounds,warning,5x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460404-B3,patch_footprint_out_of_bounds,warning,20x,6,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460602-B,patch_footprint_out_of_bounds,warning,5x,1,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460602-B,patch_footprint_out_of_bounds,warning,20x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460753-B2,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460753-B2,patch_footprint_out_of_bounds,warning,20x,9,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2460960-B,patch_footprint_out_of_bounds,warning,20x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461487-B2,patch_footprint_out_of_bounds,warning,5x,1,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461487-B2,patch_footprint_out_of_bounds,warning,20x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461672-B2,patch_footprint_out_of_bounds,warning,5x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461672-B2,patch_footprint_out_of_bounds,warning,20x,12,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461836-B2,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2461836-B2,patch_footprint_out_of_bounds,warning,20x,7,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2462478-B2,patch_footprint_out_of_bounds,warning,5x,3,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2462478-B2,patch_footprint_out_of_bounds,warning,20x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2462614-B3,patch_footprint_out_of_bounds,warning,20x,14,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2463404-B2,patch_footprint_out_of_bounds,warning,5x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2463404-B2,patch_footprint_out_of_bounds,warning,20x,12,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2463643-B,patch_footprint_out_of_bounds,warning,20x,9,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2464812-B3,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2464943-B2,patch_footprint_out_of_bounds,warning,5x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2464943-B2,patch_footprint_out_of_bounds,warning,20x,11,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2465202-B3,patch_footprint_out_of_bounds,warning,5x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2465339-B2,patch_footprint_out_of_bounds,warning,5x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2465396-B2,patch_footprint_out_of_bounds,warning,20x,13,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2465795-B4,patch_footprint_out_of_bounds,warning,5x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2465795-B4,patch_footprint_out_of_bounds,warning,20x,14,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466264-B2,patch_footprint_out_of_bounds,warning,5x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466264-B2,patch_footprint_out_of_bounds,warning,20x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466718-B,patch_footprint_out_of_bounds,warning,20x,3,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466891-B2,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466891-B2,patch_footprint_out_of_bounds,warning,20x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466893-B2,patch_footprint_out_of_bounds,warning,5x,5,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466893-B2,patch_footprint_out_of_bounds,warning,20x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466898-B2,patch_footprint_out_of_bounds,warning,5x,2,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466898-B2,patch_footprint_out_of_bounds,warning,20x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
2466899-B2,patch_footprint_out_of_bounds,warning,5x,4,0,"Full patch footprint, using the dimension-derived actual level downsample, crosses a WSI boundary; existing generation code uses use_padding=True, so this is a boundary/padding audit flag rather than automatic regeneration evidence."
