slide_id,replacement_path,backup_path
2476983-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2476983-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2476983-B.h5
2482607-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2482607-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2482607-B.h5
2482969-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2482969-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2482969-B.h5
2482992-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2482992-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2482992-B.h5
2488767-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2488767-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2488767-B.h5
2485632-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2485632-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2485632-B.h5
2487043-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2487043-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2487043-B.h5
2487518-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2487518-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2487518-B.h5
2488040-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2488040-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2488040-B.h5
2488335-B,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/data/yiyuan/features_biomedclip_5x/2488335-B.h5,/private/ljh-data/shared/ViLMIL_NEW/ViLa-MIL-main/analysis/stage2_yiyuan_data_audit/03_coordinate_audit/feature_repair_backup_5x_20260820_180126/2488335-B.h5
