slide_id,issue_type,severity,details
2460239-B2,low_16_child_ratio_low,info,ratio=0.0374
2460242-B2,low_16_child_ratio_low,info,ratio=0.0164
2460399-B2,low_16_child_ratio_low,info,ratio=0.0140
2460404-B3,low_16_child_ratio_low,info,ratio=0.0390
2460405-B2,low_16_child_ratio_low,info,ratio=0.0469
2460591-B2,low_16_child_ratio_low,info,ratio=0.0316
2460602-B,low_16_child_ratio_low,info,ratio=0.0159
2460628-B2,low_16_child_ratio_low,info,ratio=0.0158
2460641-B2,low_16_child_ratio_low,info,ratio=0.0165
2460643-B,low_16_child_ratio_low,info,ratio=0.0165
2460753-B2,low_16_child_ratio_low,info,ratio=0.0398
2460770-B2,low_16_child_ratio_low,info,ratio=0.0331
2460949-B3,low_16_child_ratio_low,info,ratio=0.0100
2460960-B,low_16_child_ratio_low,info,ratio=0.0233
2460974-B2,low_16_child_ratio_low,info,ratio=0.0427
2461002-B2,low_16_child_ratio_low,info,ratio=0.0370
2461487-B2,low_16_child_ratio_low,info,ratio=0.0431
2461671-B2,low_16_child_ratio_low,info,ratio=0.0122
2461672-B2,low_16_child_ratio_low,info,ratio=0.0094
2461677-B2,low_16_child_ratio_low,info,ratio=0.0167
2461698-B,low_16_child_ratio_low,info,ratio=0.0209
2461700-B2,low_16_child_ratio_low,info,ratio=0.0270
2461703-B3,low_16_child_ratio_low,info,ratio=0.0198
2461718-B3,low_16_child_ratio_low,info,ratio=0.0366
2461718-B3,high_parent_coverage_low,warning,ratio=0.8950
2461755-B3,low_16_child_ratio_low,info,ratio=0.0526
2461836-B2,low_16_child_ratio_low,info,ratio=0.0417
2461857-B2,low_16_child_ratio_low,info,ratio=0.0377
2461861-B2,low_16_child_ratio_low,info,ratio=0.0000
2462123-B2,low_16_child_ratio_low,info,ratio=0.0000
2462170-B4,low_16_child_ratio_low,info,ratio=0.0171
2462290-B2,low_16_child_ratio_low,info,ratio=0.0210
2462293-B3,low_16_child_ratio_low,info,ratio=0.0236
2462478-B2,low_16_child_ratio_low,info,ratio=0.0329
2462478-B2,high_parent_coverage_low,warning,ratio=0.8541
2462483-B,low_16_child_ratio_low,info,ratio=0.0588
2462598-B,low_16_child_ratio_low,info,ratio=0.0205
2462614-B3,low_16_child_ratio_low,info,ratio=0.0089
2462637-B2,low_16_child_ratio_low,info,ratio=0.0181
2462830-B2,low_16_child_ratio_low,info,ratio=0.0291
2462830-B4,low_16_child_ratio_low,info,ratio=0.0143
2462840-B5,low_16_child_ratio_low,info,ratio=0.0105
2462885-B2,low_16_child_ratio_low,info,ratio=0.0294
2462920-B3,low_16_child_ratio_low,info,ratio=0.0293
2462921-B,low_16_child_ratio_low,info,ratio=0.0129
2462987-B2,low_16_child_ratio_low,info,ratio=0.0432
2463126-B2,low_16_child_ratio_low,info,ratio=0.0278
2463127-B3,low_16_child_ratio_low,info,ratio=0.0192
2463135-B,low_16_child_ratio_low,info,ratio=0.0098
2463187-B2,low_16_child_ratio_low,info,ratio=0.0273
2463351-B4,low_16_child_ratio_low,info,ratio=0.0114
2463370-B2,low_16_child_ratio_low,info,ratio=0.0365
2463379-B4,low_16_child_ratio_low,info,ratio=0.0392
2463404-B2,low_16_child_ratio_low,info,ratio=0.0230
2463643-B,low_16_child_ratio_low,info,ratio=0.0332
2463647-B2,low_16_child_ratio_low,info,ratio=0.0098
2463656-B2,low_16_child_ratio_low,info,ratio=0.0382
2463720-B7,low_16_child_ratio_low,info,ratio=0.0338
2464404-B5,low_16_child_ratio_low,info,ratio=0.0435
2464438-B5,low_16_child_ratio_low,info,ratio=0.0204
2464443-B,low_16_child_ratio_low,info,ratio=0.0157
2464548-B,low_16_child_ratio_low,info,ratio=0.0148
2464690-B2,low_16_child_ratio_low,info,ratio=0.0205
2464812-B3,low_16_child_ratio_low,info,ratio=0.0236
2464817-B,low_16_child_ratio_low,info,ratio=0.0075
2464879-B2,low_16_child_ratio_low,info,ratio=0.0261
2464929-B,low_16_child_ratio_low,info,ratio=0.0103
2464943-B2,low_16_child_ratio_low,info,ratio=0.0155
2465202-B3,low_16_child_ratio_low,info,ratio=0.0186
2465243-B2,low_16_child_ratio_low,info,ratio=0.0172
