slide_id,low_count,high_count,low_with_child_count,low_with_child_ratio,low_no_child_count,low_child_count_mean,low_child_count_median,low_child_count_min,low_child_count_max,low_16_child_count,low_16_child_ratio,high_with_parent_count,high_with_parent_ratio,high_no_parent_count,high_multi_parent_count,high_parent_count_max,high_center_inside_total,high_fully_inside_total,high_overlap_total,low_w,low_h,high_w,high_h,fov_ratio_x,fov_ratio_y
2460239-B2,187,2592,187,1.0,0,24.572192513368982,23.0,4,36,7,0.0374331550802139,2412,0.9305555555555556,180,1440,4,2219,2194,4595,4096.190577475274,4096.513213049025,1024.0204184723366,1024.0349886104784,4.000106349037542,4.000364497904137
2460242-B2,426,6128,426,1.0,0,30.335680751173708,35.0,5,36,7,0.01643192488262911,6069,0.9903720626631853,59,4246,4,5923,5896,12923,4096.336901210739,4096.513213049025,1024.0168439521876,1024.0349886104784,4.00026320407089,4.000364497904137
2460399-B2,285,4103,285,1.0,0,30.84561403508772,35.0,8,36,4,0.014035087719298246,4084,0.9953692420180356,19,2909,4,4002,4002,8791,4096.286001564071,4096.513213049025,1024.0142992794504,1024.0349886104784,4.00022343872193,4.000364497904137
2460404-B3,308,4243,308,1.0,0,18.198051948051948,20.0,3,24,12,0.03896103896103896,3988,0.9399010134338911,255,1615,3,3834,3825,5605,4096.0,4096.513213049025,1024.0,1024.0349886104784,4.0,4.000364497904137
2460405-B2,128,1742,128,1.0,0,21.21875,22.5,3,30,6,0.046875,1614,0.9265212399540758,128,832,4,1529,1523,2716,4096.392165444797,4096.3949093713845,1024.01400475943,1024.0,4.000328263486158,4.000385653682993
2460591-B2,253,3248,253,1.0,0,22.960474308300395,23.0,6,36,8,0.03162055335968379,3054,0.9402709359605911,194,1830,5,2833,2791,5809,4096.066281177182,4096.513213049025,1024.0165702942954,1024.0349886104784,4.0,4.000364497904137
2460602-B,252,3707,252,1.0,0,30.42063492063492,35.0,7,36,4,0.015873015873015872,3634,0.9803075263015916,73,2515,4,3480,3480,7666,4096.23804111995,4096.711817279047,1024.0066119117723,1024.025418259445,4.0002066329166235,4.000595829195631
2460628-B2,190,2668,190,1.0,0,23.352631578947367,25.0,7,30,3,0.015789473684210527,2590,0.9707646176911544,78,1373,4,2482,2475,4437,4096.109483588153,4096.528161749536,1024.0,1024.0264053635894,4.000106917566556,4.000412626366825
2460641-B2,242,3511,242,1.0,0,29.706611570247933,33.0,6,36,4,0.01652892561983471,3446,0.9814867559099971,65,2363,4,3320,3307,7189,4096.359706009512,4096.513213049025,1024.0069168625544,1024.0349886104784,4.000324254215305,4.000364497904137
2460643-B,182,2656,182,1.0,0,29.71978021978022,34.0,7,36,3,0.016483516483516484,2602,0.9796686746987951,54,1766,4,2493,2491,5409,4096.099301784329,4096.711817279047,1024.0248254460823,1024.025418259445,4.0,4.000595829195631
2460753-B2,201,2859,201,1.0,0,18.935323383084576,21.0,4,24,8,0.03980099502487562,2698,0.94368660370759,161,1108,2,2580,2580,3806,4096.456545000595,4096.0,1024.0228252147294,1024.0,4.000356675781714,4.0
2460770-B2,181,2521,181,1.0,0,26.11049723756906,28.0,5,36,6,0.03314917127071823,2392,0.9488298294327647,129,1493,5,2239,2218,4726,4096.27081349836,4096.513213049025,1024.0135399587455,1024.0349886104784,4.000211573045594,4.000364497904137
2460949-B3,200,2813,200,1.0,0,28.52,31.0,6,36,2,0.01,2765,0.9829363668681124,48,1852,4,2658,2649,5704,4096.307101727447,4096.513213049025,1024.0153541654172,1024.0349886104784,4.000239923224568,4.000364497904137
2460960-B,343,4901,343,1.0,0,24.28862973760933,27.0,5,30,8,0.023323615160349854,4776,0.9744950010201999,125,2618,4,4602,4584,8331,4096.332935948846,4096.513213049025,1024.0,1024.0349886104784,4.000325132762545,4.000364497904137
2460974-B2,234,3353,234,1.0,0,20.17094017094017,22.0,5,24,10,0.042735042735042736,3281,0.9785266925141665,72,1439,2,3201,3200,4720,4096.0,4096.711817279047,1024.0,1024.025418259445,4.0,4.000595829195631
2461002-B2,135,1733,135,1.0,0,25.081481481481482,27.0,6,36,5,0.037037037037037035,1671,0.9642238892094633,62,1098,5,1613,1587,3386,4096.099301784329,4096.48695652174,1024.0248254460823,1024.0521703688607,4.0,4.000271739130436
2461487-B2,232,3195,232,1.0,0,16.551724137931036,19.0,1,20,10,0.04310344827586207,3128,0.9790297339593115,67,712,2,3092,3092,3840,4096.0942996592685,4096.0,1024.0,1024.0,4.000092089511004,4.0
2461671-B2,328,4887,328,1.0,0,31.222560975609756,36.0,8,36,4,0.012195121951219513,4822,0.9866994065889093,65,3364,4,4651,4651,10241,4096.201325693743,4096.442141623489,1024.021570004213,1024.0122805334356,4.000112346927311,4.000383803492612
2461672-B2,212,2880,212,1.0,0,22.632075471698112,25.0,6,30,2,0.009433962264150943,2792,0.9694444444444444,88,1478,4,2671,2661,4798,4096.29307384087,4096.337879454465,1024.0,1024.0281550728623,4.000286204922725,4.000219973603167
2461677-B2,60,812,60,1.0,0,17.783333333333335,19.0,3,25,1,0.016666666666666666,754,0.9285714285714286,58,255,4,714,714,1067,4096.2231666121825,4096.766849725412,1024.0,1024.0,4.000217936144709,4.000748876684972
2461698-B,239,3447,239,1.0,0,28.230125523012553,32.0,3,36,5,0.02092050209205021,3307,0.9593849724398027,140,2177,4,3143,3132,6747,4096.2346949169805,4096.098009188361,1024.0065189712248,1024.0245022970903,4.000203728226546,4.0
2461700-B2,74,996,74,1.0,0,26.175675675675677,27.5,10,36,2,0.02702702702702703,949,0.9528112449799196,47,634,4,908,908,1937,4096.410795040117,4096.943043355058,1024.0280067099409,1024.018131595722,4.0002917578409924,4.000850099178238
2461703-B3,253,3694,253,1.0,0,28.90118577075099,34.0,7,36,5,0.019762845849802372,3575,0.9677855982674608,119,2374,4,3387,3362,7312,4096.240853021117,4096.513213049025,1024.0066900120212,1024.0349886104784,4.0002090738030525,4.000364497904137
2461718-B3,82,1067,82,1.0,0,18.4390243902439,20.0,5,30,3,0.036585365853658534,955,0.895032802249297,112,435,4,866,849,1512,4096.06432160804,4096.583919406957,1024.01608040201,1024.0,4.0,4.000570233795856
2461755-B3,247,3325,247,1.0,0,26.380566801619434,27.0,7,36,13,0.05263157894736842,3242,0.9750375939849624,83,2111,5,3040,3030,6516,4096.254270957489,4096.513213049025,1024.0127129165219,1024.0349886104784,4.000198649185538,4.000364497904137
2461836-B2,144,1998,144,1.0,0,26.07638888888889,27.0,7,36,6,0.041666666666666664,1905,0.9534534534534534,93,1200,5,1754,1743,3755,4096.3267806995145,4096.114515768285,1024.016337992214,1024.0286289420712,4.0002552974214955,4.0
2461857-B2,159,2091,159,1.0,0,25.056603773584907,26.0,8,36,6,0.03773584905660377,2044,0.9775227164036346,47,1273,4,1875,1871,3984,4096.148405797101,4096.513213049025,1024.0074200747804,1024.0349886104784,4.000115942028986,4.000364497904137
2461861-B2,62,890,62,1.0,0,28.403225806451612,30.5,11,36,0,0.0,882,0.9910112359550561,8,570,4,843,843,1761,4096.150264136177,4096.641425389755,1024.0375660340442,1024.0178148921364,4.0,4.000556792873051
2462123-B2,122,1715,122,1.0,0,27.959016393442624,31.0,9,36,0,0.0,1682,0.9807580174927114,33,1110,4,1600,1600,3411,4096.519044170891,4096.803088803089,1024.0185352785722,1024.0154412208215,4.000434467776973,4.000723938223938
2462170-B4,117,1562,117,1.0,0,24.05982905982906,24.0,7,36,2,0.017094017094017096,1489,0.9532650448143406,73,893,4,1359,1352,2815,4096.277222957526,4096.757224118316,1024.007700174457,1024.014559517716,4.000240644928407,4.000682593856655
2462290-B2,286,4236,286,1.0,0,30.825174825174827,35.0,5,36,6,0.02097902097902098,4171,0.9846553352219075,65,2899,4,4010,4009,8816,4096.456545000595,4096.749163879599,1024.0228252147294,1024.0267516589163,4.000356675781714,4.000627090301004
2462293-B3,127,1781,127,1.0,0,28.5748031496063,31.0,9,36,3,0.023622047244094488,1765,0.9910162829870859,16,1193,4,1718,1699,3629,4096.041270353055,4096.2976167409415,1024.0103175882637,1024.0248001937516,4.0,4.00019376089905
2462478-B2,152,2029,152,1.0,0,14.078947368421053,15.0,3,24,5,0.03289473684210526,1733,0.854115327747659,296,384,4,1722,1698,2140,4096.2091503267975,4096.0,1024.0,1024.0,4.000204248366013,4.0
2462483-B,85,1108,85,1.0,0,20.847058823529412,20.0,4,36,5,0.058823529411764705,1003,0.9052346570397112,105,534,4,890,872,1772,4096.281044157112,4096.158024691358,1024.0078063060316,1024.0395061728395,4.000243961941937,4.0
2462598-B,195,2744,195,1.0,0,18.23076923076923,20.0,5,24,4,0.020512820512820513,2517,0.9172740524781341,227,1037,3,2432,2415,3555,4096.0,4096.513213049025,1024.0,1024.0349886104784,4.0,4.000364497904137
2462614-B3,225,3283,225,1.0,0,25.511111111111113,29.0,5,31,2,0.008888888888888889,3207,0.976850441669205,76,1854,4,3144,3135,5740,4096.243114909782,4096.711817279047,1024.0,1024.025418259445,4.000237416904084,4.000595829195631
2462637-B2,277,3864,277,1.0,0,28.14801444043321,30.0,6,36,5,0.018050541516245487,3810,0.9860248447204969,54,2548,5,3638,3623,7797,4096.286001564071,4096.53781512605,1024.0142992794504,1024.0366657118304,4.00022343872193,4.0003819709702055
2462830-B2,103,1417,103,1.0,0,27.320388349514563,30.0,8,36,3,0.02912621359223301,1378,0.9724770642201835,39,925,5,1331,1327,2814,4096.272235112142,4096.513213049025,1024.0185605877518,1024.0349886104784,4.000193348801237,4.000364497904137
2462830-B4,210,3080,210,1.0,0,24.447619047619046,26.0,8,30,3,0.014285714285714285,2974,0.9655844155844155,106,1595,4,2836,2832,5134,4096.089302325581,4096.3949093713845,1024.0223255813953,1024.0,4.0,4.000385653682993
2462840-B5,286,4219,286,1.0,0,25.744755244755243,30.0,4,30,3,0.01048951048951049,4153,0.9843564825788101,66,2349,4,4007,4007,7363,4096.0507886122405,4096.583919406957,1024.0126971530601,1024.0,4.0,4.000570233795856
2462885-B2,272,3661,272,1.0,0,27.253676470588236,30.0,5,36,8,0.029411764705882353,3555,0.9710461622507511,106,2426,4,3435,3410,7413,4096.176447420245,4096.513213049025,1024.0189046153846,1024.0349886104784,4.00009846396219,4.000364497904137
2462920-B3,273,3827,273,1.0,0,24.41025641025641,27.0,5,30,8,0.029304029304029304,3745,0.9785732950091456,82,2133,4,3669,3649,6664,4096.124332200097,4096.373566812591,1024.0,1024.0400229298036,4.000121418164158,4.000208463623097
2462921-B,311,4466,311,1.0,0,30.279742765273312,35.0,3,36,4,0.012861736334405145,4386,0.9820868786386028,80,3096,5,4291,4272,9417,4096.209909804381,4096.2976167409415,1024.0224896775894,1024.0248001937516,4.000117137167623,4.00019376089905
2462987-B2,139,2010,139,1.0,0,20.0431654676259,23.0,4,24,6,0.04316546762589928,1942,0.9661691542288557,68,844,2,1895,1895,2786,4096.0,4096.1708185053385,1024.0,1024.0427046263346,4.0,4.0
2463126-B2,144,2101,144,1.0,0,30.291666666666668,35.0,10,36,4,0.027777777777777776,2072,0.9861970490242742,29,1435,4,2010,2007,4362,4096.110012892136,4096.810859728507,1024.027503223034,1024.0289543629474,4.0,4.000678733031675
2463127-B3,261,3791,261,1.0,0,25.75862068965517,30.0,3,30,5,0.019157088122605363,3747,0.9883935637035083,44,2166,4,3674,3670,6723,4096.143840427027,4096.513213049025,1024.0,1024.0349886104784,4.000140469167018,4.000364497904137
2463135-B,307,4547,307,1.0,0,31.54397394136808,36.0,10,36,3,0.009771986970684038,4524,0.9949417198152628,23,3204,4,4420,4420,9684,4096.101105845181,4096.513213049025,1024.0252764612953,1024.0349886104784,4.0,4.000364497904137
2463187-B2,110,1511,110,1.0,0,24.163636363636364,27.0,3,30,3,0.02727272727272727,1487,0.9841164791528789,24,862,4,1462,1462,2658,4096.53862338443,4096.843492586491,1024.019234381457,1024.0,4.000450856627592,4.000823723228995
