slide_id,scale,patch_count,padding_bucket,count,fraction
2460239-B2,5x,187,<=5%,185,0.9893048128342246
2460239-B2,5x,187,>50%,2,0.0106951871657754
2460239-B2,20x,2592,<=5%,2579,0.9949845679012346
2460239-B2,20x,2592,>50%,13,0.005015432098765432
2460242-B2,5x,426,<=5%,426,1.0
2460242-B2,20x,6128,<=5%,6128,1.0
2460399-B2,5x,285,<=5%,285,1.0
2460399-B2,20x,4103,<=5%,4103,1.0
2460404-B3,5x,308,5-10%,2,0.006493506493506494
2460404-B3,5x,308,<=5%,304,0.987012987012987
2460404-B3,5x,308,25-50%,2,0.006493506493506494
2460404-B3,20x,4243,<=5%,4237,0.9985859061984445
2460404-B3,20x,4243,10-25%,6,0.0014140938015555031
2460405-B2,5x,128,<=5%,128,1.0
2460405-B2,20x,1742,<=5%,1742,1.0
2460591-B2,5x,253,<=5%,253,1.0
2460591-B2,20x,3248,<=5%,3248,1.0
2460602-B,5x,252,<=5%,251,0.996031746031746
2460602-B,5x,252,>50%,1,0.003968253968253968
2460602-B,20x,3707,<=5%,3705,0.9994604801726463
2460602-B,20x,3707,25-50%,2,0.0005395198273536552
2460628-B2,5x,190,<=5%,190,1.0
2460628-B2,20x,2668,<=5%,2668,1.0
2460641-B2,5x,242,<=5%,242,1.0
2460641-B2,20x,3511,<=5%,3511,1.0
2460643-B,5x,182,<=5%,182,1.0
2460643-B,20x,2656,<=5%,2656,1.0
2460753-B2,5x,201,<=5%,199,0.9900497512437811
2460753-B2,5x,201,>50%,2,0.009950248756218905
2460753-B2,20x,2859,<=5%,2850,0.9968520461699895
2460753-B2,20x,2859,>50%,9,0.0031479538300104933
2460770-B2,5x,181,<=5%,181,1.0
2460770-B2,20x,2521,<=5%,2521,1.0
2460949-B3,5x,200,<=5%,200,1.0
2460949-B3,20x,2813,<=5%,2813,1.0
2460960-B,5x,343,<=5%,343,1.0
2460960-B,20x,4901,<=5%,4896,0.998979800040808
2460960-B,20x,4901,10-25%,5,0.0010201999591920017
2460974-B2,5x,234,<=5%,234,1.0
2460974-B2,20x,3353,<=5%,3353,1.0
2461002-B2,5x,135,<=5%,135,1.0
2461002-B2,20x,1733,<=5%,1733,1.0
2461487-B2,5x,232,<=5%,231,0.9956896551724138
2461487-B2,5x,232,10-25%,1,0.004310344827586207
2461487-B2,20x,3195,<=5%,3193,0.9993740219092332
2461487-B2,20x,3195,25-50%,2,0.0006259780907668231
2461671-B2,5x,328,<=5%,328,1.0
2461671-B2,20x,4887,<=5%,4887,1.0
2461672-B2,5x,212,<=5%,208,0.9811320754716981
2461672-B2,5x,212,25-50%,4,0.018867924528301886
2461672-B2,20x,2880,<=5%,2880,1.0
2461677-B2,5x,60,<=5%,60,1.0
2461677-B2,20x,812,<=5%,812,1.0
2461698-B,5x,239,<=5%,239,1.0
2461698-B,20x,3447,<=5%,3447,1.0
2461700-B2,5x,74,<=5%,74,1.0
2461700-B2,20x,996,<=5%,996,1.0
2461703-B3,5x,253,<=5%,253,1.0
2461703-B3,20x,3694,<=5%,3694,1.0
2461718-B3,5x,82,<=5%,82,1.0
2461718-B3,20x,1067,<=5%,1067,1.0
2461755-B3,5x,247,<=5%,247,1.0
2461755-B3,20x,3325,<=5%,3325,1.0
2461836-B2,5x,144,<=5%,142,0.9861111111111112
