slide_id,low_no_child_count,high_no_parent_count,low_count,high_count
2460239-B2,0,180,187,2592
2460242-B2,0,59,426,6128
2460399-B2,0,19,285,4103
2460404-B3,0,255,308,4243
2460405-B2,0,128,128,1742
2460591-B2,0,194,253,3248
2460602-B,0,73,252,3707
2460628-B2,0,78,190,2668
2460641-B2,0,65,242,3511
2460643-B,0,54,182,2656
2460753-B2,0,161,201,2859
2460770-B2,0,129,181,2521
2460949-B3,0,48,200,2813
2460960-B,0,125,343,4901
2460974-B2,0,72,234,3353
2461002-B2,0,62,135,1733
2461487-B2,0,67,232,3195
2461671-B2,0,65,328,4887
2461672-B2,0,88,212,2880
2461677-B2,0,58,60,812
2461698-B,0,140,239,3447
2461700-B2,0,47,74,996
2461703-B3,0,119,253,3694
2461718-B3,0,112,82,1067
2461755-B3,0,83,247,3325
2461836-B2,0,93,144,1998
2461857-B2,0,47,159,2091
2461861-B2,0,8,62,890
2462123-B2,0,33,122,1715
2462170-B4,0,73,117,1562
2462290-B2,0,65,286,4236
2462293-B3,0,16,127,1781
2462478-B2,0,296,152,2029
2462483-B,0,105,85,1108
2462598-B,0,227,195,2744
2462614-B3,0,76,225,3283
2462637-B2,0,54,277,3864
2462830-B2,0,39,103,1417
2462830-B4,0,106,210,3080
2462840-B5,0,66,286,4219
2462885-B2,0,106,272,3661
2462920-B3,0,82,273,3827
2462921-B,0,80,311,4466
2462987-B2,0,68,139,2010
2463126-B2,0,29,144,2101
2463127-B3,0,44,261,3791
2463135-B,0,23,307,4547
2463187-B2,0,24,110,1511
2463351-B4,0,55,175,2436
2463370-B2,0,37,192,2726
2463379-B4,0,44,153,2079
2463404-B2,0,79,217,2935
2463643-B,0,107,241,3440
2463647-B2,0,40,204,2934
2463656-B2,0,75,157,2076
2463720-B7,0,89,207,3024
2464404-B5,0,100,207,2935
2464438-B5,0,25,98,1244
2464443-B,0,47,254,3687
2464548-B,0,83,337,4999
2464690-B2,0,78,244,3451
2464812-B3,0,103,254,3682
2464817-B,0,61,265,3919
2464879-B2,0,69,268,3955
2464929-B,0,78,291,4295
2464943-B2,0,52,323,4501
2465202-B3,0,96,269,3876
2465243-B2,0,48,348,5204
2465263-B2,0,79,163,2322
2465339-B2,0,93,427,6254
2465367-B3,0,60,125,1600
2465396-B2,0,227,165,2463
2465397-B,0,34,157,2289
2465568-B2,0,88,188,2648
2465608-B2,0,212,259,3741
2465625-B,0,171,172,2395
2465636-B,0,47,230,3335
2465639-B2,0,34,137,1782
2465643-B3,0,68,251,3735
2465661-B2,0,52,189,2618
2465795-B4,0,175,293,4156
2465827-B5,0,36,211,3054
2465843-B2,0,94,269,3656
2465989-B2,0,53,205,2922
2466152-B2,0,34,155,2250
2466159-B2,0,41,234,3385
2466264-B2,0,41,188,2653
2466285-B,0,57,154,2263
2466580-B5,0,71,102,1408
2466581-B1,0,16,300,4444
2466581-B2,0,46,175,2334
2466584-B,0,49,206,2916
2466703-B4,0,49,73,992
2466718-B,0,29,317,4685
2466866-B,0,108,206,2678
2466881-B2,0,53,212,2895
2466884-B2,0,40,136,1821
2466891-B2,0,54,435,6508
2466893-B2,0,29,192,2822
2466898-B2,0,46,276,4081
2466899-B2,0,118,218,2867
2466923-B2,0,28,115,1560
2468105-B2,0,212,299,4143
2468321-B2,0,32,141,1885
2468325-B,0,37,167,2302
2468417-B2,0,54,184,2528
2468419-B2,0,51,316,4617
2468419-B3,0,80,249,3633
2468442-B2,0,159,396,5816
2468450-B2,0,29,183,2583
2468673-B2,0,121,158,2236
2468698-B2,0,52,276,3932
2468720-B2,0,38,244,3495
2468796-B3,0,68,295,4342
2468954-B2,0,73,107,1402
2469004-B2,0,46,173,2188
2469005-B2,0,28,238,3361
2469007-B2,0,50,157,2149
2469019-B2,0,19,257,3594
2469023-B2,0,15,173,2504
2469023-B4,0,38,173,2349
2469024-B,0,18,115,1556
2469029-B2,0,31,162,2168
2469033-B2,0,17,79,1058
2469047-B2,0,55,212,3009
2469072-B2,0,157,203,2721
2469074-B2,0,19,104,1517
2469110-B3,0,12,189,2706
2469230-B,0,50,319,4468
2469256-B2,0,80,195,2709
2469260-B3,0,70,201,3062
2469496-B,0,116,264,3630
2469505-B2,0,285,252,3503
2469515-B2,0,25,83,1046
2469569-B2,0,25,67,877
2469661-B,0,92,94,1184
2469693-B,0,108,340,4975
2469849-B2,0,141,178,2512
2469916-B2,0,90,225,2967
2469927-B2,0,75,196,2593
2469963-B2,0,112,275,4073
2469965-B2,0,47,302,4290
2469969-B2,0,91,176,2451
2470260-B,0,71,287,4280
2470270-B2,0,28,176,2510
2470405-B2,0,101,253,3708
2470647-B2,0,67,318,4267
2470657-B3,0,37,472,7128
2471072-B2,0,72,263,3844
2471237-B2,0,100,463,6815
2471442-B3,0,27,261,3765
2471452-B2,0,90,132,1772
2471595-B3,0,62,321,4641
2471618-B3,0,98,258,3840
2471884-B2,0,71,140,1810
2471885-B2,0,101,128,1739
2471887-B,0,97,223,3135
2471921-B2,0,39,196,2810
2471957-B,0,23,85,1104
2471959-B2,0,100,167,2280
2471963-B,0,143,280,3985
2472316-B7,0,11,46,609
2472453-B2,0,17,84,1089
2472465-B2,0,19,249,3586
2472471-B2,0,87,190,2694
2472481-B2,0,27,155,2139
2472500-B2,0,8,141,1962
2472505-B,0,18,112,1592
2472509-B4,0,57,245,3499
2472509-B6,0,25,461,6909
2473212-B4,0,43,187,2489
2473218-B2,0,109,321,4586
2473218-B3,0,45,255,3592
2473228-B2,0,72,188,2583
2473266-B,0,62,201,2728
2473272-B3,0,58,247,3338
2473366-B2,0,54,228,3002
2473394-B2,0,80,295,4135
2473534-B2,0,50,228,3213
2473545-B2,0,74,422,6025
2473545-B3,0,43,248,3653
2473549-B,0,68,234,3285
2473600-B3,0,124,321,4559
2473608-B2,0,32,299,4453
2473621-B3,0,106,158,2107
2473623-B2,0,0,73,947
2473738-B3,0,15,264,3919
2474124-B2,0,218,209,3104
2474140-B3,0,80,227,3068
2474150-B3,0,25,220,3180
2474188-B2,0,76,317,4656
2474189-B7,0,24,61,844
2474291-B2,0,42,316,4662
2474337-B3,0,56,301,4367
2474500-B2,0,180,257,3784
2474612-B2,0,45,268,3923
2474626-B2,0,92,212,3019
2474631-B3,0,38,293,4105
2474638-B3,0,16,155,2249
2474704-B2,0,4,144,2111
2474718-B4,0,46,154,2123
2474721-B,0,80,309,4548
2474739-B2,0,59,315,4727
2474901-B,0,42,250,3626
2475011-B2,0,30,183,2646
2475022-B,0,45,224,3274
2475126-B2,0,93,231,3334
2475159-B,0,5,178,2588
2475184-B2,0,44,243,3242
2475349-B2,0,88,132,1861
2476242-B2,0,38,240,3500
2476250-B2,0,44,79,1047
2476252-B2,0,17,120,1594
2476295-B3,0,77,249,3732
2476358-B2,0,70,212,3078
2476376-B2,0,124,262,3675
2476391-B2,0,41,154,2214
2476681-B2,0,67,172,2291
2476750-B,0,49,320,4596
2476834-B3,0,68,303,4328
2476856-B2,0,57,260,3535
2476983-B,0,44,181,2273
2476984-B2,0,11,79,1070
2477039-B,0,24,247,3531
2477053-B3,0,4,396,5849
2477058-B2,0,78,224,3382
2477118-B3,0,9,221,3195
2477118-B4,0,16,167,2364
2477189-B2,0,15,291,4316
2477189-B3,0,18,129,1775
2477274-B3,0,24,127,1675
2477285-B2,0,24,221,3146
2477299-B2,0,124,396,5990
2477473-B2,0,141,280,4199
2477476-B2,0,55,313,4584
2477541-B2,0,42,141,1847
2477577-B3,0,48,254,3569
2477668-B3,0,90,316,4604
2477670-B2,0,45,262,3685
2477695-B2,0,56,305,4519
2477809-B3,0,36,202,3004
2477814-B5,0,5,143,2119
2477941-B2,0,9,272,3942
2477949-B2,0,30,188,2718
2477977-B3,0,51,192,2568
2478091-B4,0,8,273,4055
2481696-B4,0,21,181,2513
2481703-B2,0,54,237,3370
2481723-B2,0,123,214,3045
2481750-B2,0,32,248,3545
2482055-B2,0,108,332,4895
2482056-B4,0,167,223,3063
2482056-B9,0,71,187,2621
2482461-B2,0,30,266,3947
2482483-B2,0,5,339,4942
2482607-B,0,89,251,3517
2482886-B2,0,48,299,4097
2482896-B2,0,30,143,1878
2482947-B2,0,35,148,2208
2482952-B2,0,14,235,3325
2482956-B,0,5,100,1329
2482957-B2,0,22,143,2109
2482962-B2,0,58,105,1333
2482964-B2,0,41,475,6988
2482969-B,0,37,302,4318
2482992-B,0,11,236,3302
2483014-B4,0,80,281,3930
2483055-B2,0,86,270,3762
2483211-B2,0,130,288,4031
2483215-B5,0,32,228,3269
2483215-B6,0,33,315,4686
2483220-B1,0,13,286,3900
2483363-B3,0,95,349,5012
2483768-B4,0,2,148,1903
2483846-B,0,39,194,2766
2483862-B2,0,28,198,2674
2483868-B4,0,17,244,3630
2483961-B3,0,21,190,2652
2483973-B1,0,136,300,4402
2483993-B2,0,33,228,3420
2484004-B2,0,38,309,4442
2484209-B2,0,26,393,5862
2484220-B3,0,13,378,5652
2484228-B,0,11,467,6897
2484301-B2,0,41,254,3770
2484312-B2,0,1,305,4562
2484463-B2,0,113,219,3250
2484633-B2,0,44,153,2125
2484727-B2,0,15,145,2090
2484734-B4,0,57,190,2582
2484734-B5,0,19,97,1369
2484743-B4,0,21,120,1729
2484771-B3,0,61,95,1210
2484791-B3,0,14,79,1067
2484883-B2,0,56,258,3583
2485059-B2,0,62,265,3915
2485259-B6,0,24,174,2328
2485275-B2,0,38,320,4591
2485303-B2,0,34,247,3388
2485318-B2,0,57,116,1626
2485322-B2,0,26,95,1214
2485328-B2,0,18,191,2630
2485517-B2,0,65,84,1068
2485635-B2,0,53,253,3774
2485803-B2,0,54,519,7752
2485805-B,0,45,362,5106
2485969-B2,0,123,403,5798
2486100-B,0,23,280,4110
2486104-B1,0,78,111,1420
2486104-B2,0,67,111,1527
2486165-B2,0,65,247,3554
2486191-B,0,23,252,3667
2486197-B2,0,15,256,3655
2486262-B4,0,52,141,2018
2486653-B2,0,20,244,3569
2486653-B3,0,51,318,4719
2486687-B3,0,22,211,3060
2486812-B2,0,85,294,4161
2486813-B2,0,24,108,1446
2486833-B2,0,42,154,2205
2486845-B2,0,88,154,2100
2486859-B2,0,230,60,944
2487140-B2,0,115,140,1907
2487143-B,0,82,204,2900
2487146-B2,0,42,156,2196
2487237-B2,0,27,191,2685
2487246-B2,0,29,90,1227
2487274-B2,0,11,197,2764
2487376-B2,0,21,344,5115
2487388-B2,0,28,239,3526
2487558-B2,0,18,137,1895
2487651-B,0,6,160,2295
2487656-B4,0,44,196,2661
2487664-B2,0,32,126,1748
2487896-B2,0,56,198,2495
2487935-B2,0,97,236,3434
2487941-B2,0,33,126,1654
2488039-B2,0,49,232,3196
2488044-B2,0,84,298,4181
2488044-B3,0,79,283,3998
2488050-B3,0,38,243,3528
2488065-B3,0,44,162,2276
2488320-B3,0,10,121,1703
2488330-B2,0,97,277,4011
2488344-B2,0,15,143,2098
2488369-B2,0,30,367,5365
2488475-B2,0,19,138,1880
2488477-B2,0,52,159,2259
2488767-B,0,26,478,7110
2488769-B2,0,60,161,2229
2488806-B2,0,65,311,4653
2488916-B2,0,42,463,6989
2488932-B4,0,73,377,5478
2489131-B3,0,120,55,803
2489137-B4,0,32,358,5205
2489182-B2,0,74,275,3726
2489203-B,0,38,388,5588
2489331-B2,0,232,221,3091
25012148B4,0,68,280,4023
25012153B2,0,44,216,3047
25012170B4,0,122,202,2651
25012170B5,0,123,271,3902
25012175B4,0,33,122,1586
25012253B3,0,25,101,1418
25012485B2,0,185,293,4287
25012628B2,0,20,173,2487
25012760B2,0,78,429,6463
25012785B2,0,77,349,4855
25012915B2,0,71,308,4380
25012919B8,0,20,210,3023
25012919B9,0,19,235,3360
25013023B2,0,91,352,5101
25013062B3,0,40,143,2113
25013162B2,0,67,177,2510
25013189B2,0,64,251,3510
25013189B3,0,38,250,3468
25013352B2,0,8,445,6447
25013465B2,0,73,347,5209
25013871B6,0,225,359,5249
25013878B2,0,52,265,3613
25014124B2,0,101,352,5133
25014160B2,0,69,168,2297
25014217B2,0,2,46,571
25014217B3,0,77,125,1679
25014226B2,0,123,236,3314
25014265B2,0,29,199,2711
25014268B,0,54,172,2332
25014311B2,0,55,132,1752
25014318B,0,100,125,1708
25014684B,0,27,400,5744
25015070B2,0,111,218,3053
25015087B2,0,91,225,3171
25015101B2,0,15,205,2961
25015103B2,0,34,134,1841
25015190B2,0,94,241,3479
25015204B2,0,87,272,4122
25015234B2,0,127,214,2869
25015408B3,0,26,149,2090
25015422B,0,103,168,2324
25015425B2,0,58,329,4334
25015488B2,0,51,183,2604
25015495B3,0,202,144,2146
25015495B4,0,81,219,3259
25015607B2,0,112,185,2657
25015622B2,0,127,289,3802
25015625B2,0,261,199,2904
25015811B3,0,41,114,1417
25015811B4,0,107,278,3983
25015820B,0,26,300,4362
25015863B2,0,100,363,5419
25015870B3,0,74,180,2419
