slide_id,scale,patch_index,x,y,embedding_cosine,embedding_l2_distance,current_norm,official_norm,current_transform,official_transform
25032146B2,5x,0,59348,11171,0.9734035730361938,16.827430725097656,71.64185333251953,73.44815063476562,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
25032146B2,5x,1,59348,15267,0.9858279228210449,12.553485870361328,73.99867248535156,74.81629943847656,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
25032146B2,5x,2,59348,19363,0.9853586554527283,12.751134872436523,74.7889404296875,73.66851043701172,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
25032146B2,5x,3,63444,11171,0.9903242588043213,11.335393905639648,80.64271545410156,81.66574096679688,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2476358-B2,5x,0,17345,56256,0.9831162691116333,13.84146785736084,74.38861083984375,75.6436996459961,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2476358-B2,5x,1,17345,60352,0.9770194292068481,16.40434455871582,75.88687133789062,76.87493896484375,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2476358-B2,5x,2,21441,60352,0.9802254438400269,15.818790435791016,79.92127227783203,78.6801986694336,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2476358-B2,5x,3,25537,64448,0.979587197303772,14.593011856079102,71.92869567871094,72.43279266357422,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2485803-B2,5x,0,46804,79033,0.9789878129959106,15.55095386505127,74.93061065673828,76.24765014648438,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
2485803-B2,5x,1,54996,74937,0.9816960096359253,14.99621295928955,77.94684600830078,78.6418685913086,"Compose(     Resize(size=(224, 224), interpolation=bilinear, max_size=None, antialias=True)     ToTensor()     Normalize(mean=(0.485, 0.456, 0.406), std=(0.229, 0.224, 0.225)) )","Compose(     Resize(size=224, interpolation=bicubic, max_size=None, antialias=True)     CenterCrop(size=(224, 224))     MaybeConvertMode()     MaybeToTensor()     Normalize(mean=[0.48145466, 0.4578275, 0.40821073], std=[0.26862954, 0.26130258, 0.27577711]) )"
