slide_id,low_count,high_count,edges,low_with_child_count,low_child_count_mean,low_child_count_median,high_with_parent_count,unmapped_high_count,high_parent_coverage,low_child_coverage,padding_low_gt50_count,padding_high_gt50_count
2460239-B2,187,2592,4595,187,24.572192513368982,23.0,2412,180,0.9305555555555556,1.0,2,13
2460242-B2,426,6128,12923,426,30.335680751173708,35.0,6069,59,0.9903720626631853,1.0,0,0
2460399-B2,285,4103,8791,285,30.84561403508772,35.0,4084,19,0.9953692420180356,1.0,0,0
2460404-B3,308,4243,5605,308,18.198051948051948,20.0,3988,255,0.9399010134338911,1.0,0,0
2460405-B2,128,1742,2716,128,21.21875,22.5,1614,128,0.9265212399540758,1.0,0,0
2460591-B2,253,3248,5809,253,22.960474308300395,23.0,3054,194,0.9402709359605911,1.0,0,0
2460602-B,252,3707,7666,252,30.42063492063492,35.0,3634,73,0.9803075263015916,1.0,1,0
2460628-B2,190,2668,4437,190,23.352631578947367,25.0,2590,78,0.9707646176911544,1.0,0,0
2460641-B2,242,3511,7189,242,29.706611570247933,33.0,3446,65,0.9814867559099971,1.0,0,0
2460643-B,182,2656,5409,182,29.71978021978022,34.0,2602,54,0.9796686746987951,1.0,0,0
2460753-B2,201,2859,3806,201,18.935323383084576,21.0,2698,161,0.94368660370759,1.0,2,9
2460770-B2,181,2521,4726,181,26.11049723756906,28.0,2392,129,0.9488298294327647,1.0,0,0
2460949-B3,200,2813,5704,200,28.52,31.0,2765,48,0.9829363668681124,1.0,0,0
2460960-B,343,4901,8331,343,24.28862973760933,27.0,4776,125,0.9744950010201999,1.0,0,0
2460974-B2,234,3353,4720,234,20.17094017094017,22.0,3281,72,0.9785266925141665,1.0,0,0
2461002-B2,135,1733,3386,135,25.081481481481482,27.0,1671,62,0.9642238892094633,1.0,0,0
2461487-B2,232,3195,3840,232,16.551724137931036,19.0,3128,67,0.9790297339593115,1.0,0,0
2461671-B2,328,4887,10241,328,31.222560975609756,36.0,4822,65,0.9866994065889093,1.0,0,0
2461672-B2,212,2880,4798,212,22.632075471698112,25.0,2792,88,0.9694444444444444,1.0,0,0
2461677-B2,60,812,1067,60,17.783333333333335,19.0,754,58,0.9285714285714286,1.0,0,0
2461698-B,239,3447,6747,239,28.230125523012553,32.0,3307,140,0.9593849724398027,1.0,0,0
2461700-B2,74,996,1937,74,26.175675675675677,27.5,949,47,0.9528112449799196,1.0,0,0
2461703-B3,253,3694,7312,253,28.90118577075099,34.0,3575,119,0.9677855982674608,1.0,0,0
2461718-B3,82,1067,1512,82,18.4390243902439,20.0,955,112,0.895032802249297,1.0,0,0
2461755-B3,247,3325,6516,247,26.380566801619434,27.0,3242,83,0.9750375939849624,1.0,0,0
2461836-B2,144,1998,3755,144,26.07638888888889,27.0,1905,93,0.9534534534534534,1.0,2,5
2461857-B2,159,2091,3984,159,25.056603773584907,26.0,2044,47,0.9775227164036346,1.0,0,0
2461861-B2,62,890,1761,62,28.403225806451612,30.5,882,8,0.9910112359550561,1.0,0,0
2462123-B2,122,1715,3411,122,27.959016393442624,31.0,1682,33,0.9807580174927114,1.0,0,0
2462170-B4,117,1562,2815,117,24.05982905982906,24.0,1489,73,0.9532650448143406,1.0,0,0
2462290-B2,286,4236,8816,286,30.825174825174827,35.0,4171,65,0.9846553352219075,1.0,0,0
2462293-B3,127,1781,3629,127,28.5748031496063,31.0,1765,16,0.9910162829870859,1.0,0,0
2462478-B2,152,2029,2140,152,14.078947368421053,15.0,1733,296,0.854115327747659,1.0,2,0
2462483-B,85,1108,1772,85,20.847058823529412,20.0,1003,105,0.9052346570397112,1.0,0,0
