fold,test_auc,test_acc,test_f1,val_auc,val_acc
1,0.9772727272727273,0.9378238341968912,0.9304086538461538,0.9668336912431401,0.9378238341968912
2,0.9885468861846815,0.9533678756476685,0.9483788522690124,0.9615843474111191,0.9222797927461139
3,0.9891434025292293,0.9533678756476685,0.9480017961383027,0.948341684562157,0.9067357512953368
4,0.9632545931758529,0.9119170984455959,0.9044359653977223,0.953591028394178,0.8808290155440415
5,0.9399308041040324,0.8549222797927462,0.8363614341085271,0.9339059890240993,0.9119170984455959
6,0.9458363159150561,0.9015544041450777,0.89022601406975,0.9643283225960391,0.9378238341968912
7,0.9890240992603196,0.9533678756476685,0.9480017961383027,0.9155929372464806,0.8911917098445596
8,0.9872942018611309,0.927461139896373,0.9210495558672277,0.928716296826533,0.9015544041450777
9,0.9613457408732999,0.9222797927461139,0.9156787929979903,0.9788833214030065,0.927461139896373
10,0.9840133619661179,0.9585492227979274,0.9539489382009068,0.9611071343354808,0.927461139896373
